epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.403,1.62816,1.72867,1.63064,0.57582,0.34806,0.40271,0.17243,1.42638,1.5295,1.53781,0.000182635,0.000182635,0.0702425
2,50.4081,1.44139,1.03552,1.45234,0.72418,0.67395,0.68588,0.30074,1.38999,0.91439,1.5779,0.000366501,0.000366501,0.0398875
3,73.8497,1.41115,0.96631,1.3979,0.71931,0.74672,0.71137,0.30712,1.27205,0.88107,1.46019,0.000547921,0.000547921,0.00952996
4,97.5209,1.38392,0.89622,1.37384,0.72743,0.65269,0.6598,0.28278,1.37143,0.82383,1.54591,0.000597988,0.000597988,0.000597988
5,121.633,1.37463,0.9043,1.39194,0.83672,0.68786,0.75162,0.33503,1.35079,0.79574,1.49433,0.000593984,0.000593984,0.000593984
6,145.41,1.40317,0.8886,1.3823,0.82095,0.67735,0.73483,0.34501,1.29759,0.76282,1.47357,0.00058998,0.00058998,0.00058998
7,169.573,1.34034,0.81161,1.33235,0.81443,0.75569,0.79955,0.38745,1.26785,0.64714,1.41593,0.000585976,0.000585976,0.000585976
8,193.65,1.3172,0.78427,1.32154,0.81967,0.7574,0.80521,0.37224,1.19142,0.67617,1.35971,0.000581973,0.000581973,0.000581973
9,217.247,1.3179,0.76644,1.32892,0.84696,0.72673,0.78368,0.36456,1.30789,0.64822,1.41471,0.000577969,0.000577969,0.000577969
10,240.879,1.28389,0.75161,1.30257,0.78872,0.73366,0.76527,0.3154,1.35786,0.7323,1.42336,0.000573965,0.000573965,0.000573965
11,264.854,1.25839,0.73769,1.31502,0.84016,0.75543,0.82096,0.3724,1.32093,0.68918,1.44419,0.000569961,0.000569961,0.000569961
12,288.576,1.26306,0.73374,1.32403,0.86855,0.71389,0.80403,0.39965,1.2156,0.61705,1.41093,0.000565957,0.000565957,0.000565957
13,313.451,1.26736,0.72632,1.31479,0.83768,0.80865,0.83595,0.40743,1.20907,0.71128,1.37986,0.000561953,0.000561953,0.000561953
14,339.485,1.26124,0.75305,1.30102,0.81522,0.76367,0.81315,0.38898,1.25585,0.58926,1.37552,0.000557949,0.000557949,0.000557949
15,363.729,1.23862,0.71661,1.27147,0.82247,0.80032,0.81896,0.38185,1.20638,0.58083,1.36122,0.000553945,0.000553945,0.000553945
16,387.677,1.22372,0.69739,1.25554,0.8471,0.79477,0.83435,0.38927,1.21427,0.60394,1.32948,0.000549941,0.000549941,0.000549941
